date,COL,NG,NUC,OIL,OTH,SUN,WAT,WND
2019-05-18,2147866,3068106,2260476,9273,192502,215470,1071420,1127255
2019-05-19,2133088,3191422,2264285,9739,191735,171258,1041448,861612
2019-05-20,2319771,3476061,2295046,11530,202610,181729,1060248,1103409
2019-05-21,2282047,3389149,2341429,10087,200027,201178,1033883,1152905
2019-05-22,2304577,3477224,2325273,9979,205806,185835,1015785,1093802
2019-05-23,2462517,3667201,2321408,9560,205689,170778,1034518,1077493
2019-05-24,2533122,3763429,2322125,12488,206739,215919,1018008,1011615
2019-05-25,2386218,3348546,2348241,9524,214690,227333,958326,1042900
2019-05-26,2441909,3335700,2330645,8673,204685,186294,970679,923486
2019-05-27,2358107,3290467,2324236,8576,203564,179832,960431,1078888
2019-05-28,2610768,3693018,2344086,8692,229555,219489,1019788,1086279
2019-05-29,2808372,4062030,2337467,9768,237035,229899,1035292,736789
2019-05-30,2751777,4161308,2354568,9443,241505,227753,1067932,478866
2019-05-31,2740857,4300809,2366151,11311,227075,219684,1095827,383078
2019-06-01,2470284,3861689,2309616,9518,222723,235129,1020367,588459
2019-06-02,2423958,3721671,2318624,8984,199368,220173,978996,555575
2019-06-03,2504049,3997308,2357029,7988,202918,231268,992270,669641
2019-06-04,2480763,4033984,2351653,8590,214126,236549,993478,804922
2019-06-05,2665534,4404614,2330218,10043,210392,223227,1059571,552679
2019-06-06,2784524,4607511,2324984,6233,206563,218888,1063929,383545
2019-06-07,2660456,4394691,2332095,6399,218658,220144,1024927,598107
2019-06-08,2263491,3835292,2338580,7342,199879,217954,956913,843176
2019-06-09,2068492,3611755,2369613,7830,192004,215027,954426,896262
2019-06-10,2310969,4025907,2377176,8365,209586,213160,1043888,815708
2019-06-11,2417207,4351021,2380493,9198,204734,219148,1013307,542423
2019-06-12,2232345,4140242,2396570,7251,203520,217582,1003776,702307
2019-06-13,2202780,4058727,2400428,7822,188895,225995,990392,719436
2019-06-14,2031391,3502836,2391781,7997,180908,246653,923373,1293770
2019-06-15,2046759,3521599,2377890,8698,183079,244920,905993,1059507
2019-06-16,2250570,3820604,2381367,9242,190020,227621,864146,579786
2019-06-17,2620449,4425714,2382263,10573,208585,230347,921827,358316
2019-06-18,2822677,4580259,2383977,19607,211792,222663,951039,421278
2019-06-19,2891361,4615892,2391464,14255,220441,231471,943108,524692
2019-06-20,2793326,4577074,2400633,14464,225422,241556,967921,769071
2019-06-21,2618068,4302518,2424028,10800,227011,249002,978961,1127685
2019-06-22,2383837,3982973,2463103,6702,211033,239860,899727,986834
2019-06-23,2317105,3865470,2461611,8723,202519,246786,842489,858941
2019-06-24,2639097,4521448,2470358,8973,212868,254724,920463,637754
2019-06-25,2795590,4622445,2468730,12688,217883,235397,934695,811489
2019-06-26,2968005,4765877,2447581,15680,215419,241088,929690,769551
2019-06-27,3070284,4844764,2442669,21710,209365,249889,911277,870984
2019-06-28,3123355,4978115,2456482,22318,206754,247230,914597,775251
2019-06-29,3079001,4869285,2452135,19194,183277,214379,865451,577953
