Date,biomass,coal,gas,gas_cc,hydro,nuclear,other,solar,wsl,wind,gas_total,total
2022-08-28,2118.254193,211928.548424,87540.42669,536993.232906,313.572782,119206.321965,1499.285536,89630.024123,-1935.242952,318856.789449,624533.659596,1368086.456068
2022-08-29,2107.516946,229064.816245,85073.490404,605976.213245,378.40569,119397.749362,1278.574124,75217.842064,-1978.540008,241649.605667,691049.703649,1360144.213747
2022-08-30,2111.495442,242090.436553,98179.360242,631573.979123,309.89065,119395.890015,1026.892133,46996.608421,-1552.128605,116940.261731,729753.339365,1258624.8143099998
2022-08-31,2240.133049,250394.744015,136030.00109,658901.810793,579.305553,119398.999521,1642.350827,42872.108778,-1766.698417,62040.00868,794931.8118830001,1274099.4623060003
2022-09-01,2332.695573,225426.697921,126681.077488,645499.114469,880.195212,119341.309541,1216.896332,42071.581415,-1749.378764,80467.118339,772180.1919570001,1243916.68629
2022-09-02,2380.457983,218401.00626,107678.656631,608926.358812,756.438938,119344.86172,1388.361706,55916.425894,-1717.647581,122278.588467,716605.015443,1237071.156411
2022-09-03,2299.820269,218394.665926,98586.752319,613724.100391,540.9725,119220.732964,906.422308,68196.091353,-1384.664062,76236.584574,712310.85271,1198106.142604
2022-09-04,2366.072262,210551.083922,68889.340423,560944.523212,518.097577,119230.075994,1054.067099,76950.310969,-1424.039507,84467.985542,629833.8636350001,1124971.5570000003
2022-09-05,2307.798573,219862.138312,87104.309666,543012.900789,449.041844,119122.577679,1400.902819,83875.90264,-1596.666037,121932.32549,630117.2104549999,1179067.8978119998
2022-09-06,2303.823108,233856.039616,147119.320908,608082.19807,332.288555,89513.922792,1885.273639,86803.9485,-2043.667356,103702.19316,755201.518978,1273599.008348
2022-09-07,2105.041635,242303.181049,122236.537341,625664.301645,714.198916,89400.951688,1347.521643,87546.937575,-2032.011481,113307.158571,747900.838986,1284625.830063
2022-09-08,2222.419631,248119.340412,140495.407542,621222.790196,542.109146,89327.943351,1545.271859,92560.66011,-1830.370432,65633.652562,761718.197738,1261669.594809
2022-09-09,2236.752831,240605.653443,96713.42629,563783.179959,554.885406,89285.400387,1726.458701,92448.413115,-2567.281795,166105.924894,660496.606249,1253460.095026
2022-09-10,2250.741676,232340.723833,77864.306325,537676.810017,667.113838,89197.198362,1478.543318,91961.182845,-1748.221905,189369.884745,615541.116342,1222806.5049589998
2022-09-11,2246.269653,225845.814763,84612.312522,538838.526083,394.531994,89206.005135,1723.615752,75532.365987,-1671.173867,169931.155139,623450.8386049999,1188330.5970279998
2022-09-12,2132.4293,218196.814076,98378.76226,612252.645322,307.093957,92586.860244,1730.069203,91362.945827,-2386.869598,105238.722955,710631.407582,1222186.343144
2022-09-13,2188.677616,194948.221483,77363.327881,528278.690992,402.107381,102718.889913,1682.237572,91466.548402,-2006.925859,237596.328688,605642.018873,1236645.029928
2022-09-14,2168.269749,179352.564354,47349.722943,482748.053164,559.168878,109001.30026,1661.9407,82977.169751,-2158.990118,315453.092823,530097.776107,1221271.2826219997
2022-09-15,2226.502997,195609.278489,51689.531603,450873.247632,405.290878,119663.628673,1904.026135,91996.288422,-2194.998042,306690.80009,502562.779235,1221058.5949189998
2022-09-16,2341.728581,204707.99416,62496.740072,464282.41835,404.987439,119725.915861,1740.23821,89521.700598,-2270.603279,348295.631717,526779.158422,1293517.3549880001
2022-09-17,2382.464851,190591.81405,65233.226564,457569.518128,493.310375,119576.447817,1615.006457,79613.236362,-2087.366624,397724.201362,522802.74469200004,1314799.2259660002
2022-09-18,2372.480307,200466.457259,87634.881463,488652.794228,768.675793,119530.418421,1674.588409,83491.015188,-2218.25296,333848.924696,576287.675691,1318440.235764
2022-09-19,2404.994466,202268.850861,123226.177215,577279.4883,807.123389,119471.799125,1892.957282,83182.950808,-2151.468131,258202.912698,700505.665515,1368737.2541440001
2022-09-20,2273.535753,209451.146772,123295.884142,585774.304756,829.054006,119437.840156,1793.460468,89013.348647,-2213.254946,247176.625438,709070.188898,1379045.2001380003
2022-09-21,2340.985902,210284.434809,143252.930933,570841.942282,931.836058,119453.789701,1990.291336,95981.189751,-2253.170265,213930.560636,714094.8732149999,1359007.9614079997
2022-09-22,2358.373748,226481.386026,153045.625784,583549.985836,897.021244,119411.752685,2075.797117,95447.867034,-2181.697145,145864.927569,736595.61162,1329132.737043
2022-09-23,2368.81321,214079.204208,99747.648486,600049.495739,826.410414,119000.439486,2283.357674,95001.245395,-2612.327985,200677.522412,699797.144225,1334034.1370240003
2022-09-24,2343.1176,207566.129831,105073.690766,524815.878074,505.386423,118823.338225,1927.517955,94474.16803,-2457.545471,240053.697038,629889.56884,1295582.9239420001
2022-09-25,2433.968797,207862.387909,102469.681454,568622.197796,456.204482,118567.099282,2415.093574,77214.215052,-2856.167547,202791.809266,671091.87925,1282832.657612
2022-09-26,2398.561788,194926.564736,87549.013876,566304.282107,400.489592,118476.027743,2097.762517,93195.449341,-2232.803963,165058.702382,653853.295983,1230406.854082
2022-09-27,2392.072431,189243.938749,67430.543955,462516.608036,363.018731,118564.146366,2044.208484,95734.667638,-2479.284078,194350.171461,529947.1519909999,1132639.375851
2022-09-28,2060.576064,194893.583244,54544.308107,481071.168112,313.102503,118577.364935,1894.08719,95291.259114,-2056.418776,188903.034015,535615.476219,1137548.4832839998
2022-09-29,1958.644281,188345.107266,49823.7962,484350.790369,313.914411,118541.385009,1940.867892,95662.440708,-2430.806402,166325.918898,534174.586569,1107262.8650339998
2022-09-30,1768.134632,183121.088987,31825.913405,441037.477888,313.930811,118404.085635,2328.142761,94773.431842,-2707.014964,192913.059845,472863.391293,1066485.2658060002
2022-10-01,2574.910041,174029.304488,26419.693481,390033.623893,427.903533,117253.580753,2000.716818,95620.759512,-2199.399972,208321.853347,416453.31737400003,1016682.345866
2022-10-02,2660.065754,182410.844602,39459.966878,429179.630238,340.60856,118058.308858,1830.318573,89438.393899,-2059.56132,143673.595289,468639.597116,1007051.7326509999
2022-10-03,2464.066828,185804.898029,56211.58172,479021.382484,414.852127,118056.452431,2201.436397,84868.152978,-2651.070025,134910.364124,535232.964204,1063953.187118
2022-10-04,2474.218665,186103.755087,61770.972328,475029.886474,457.872116,117897.855906,1959.328911,80197.486037,-2544.853624,153659.929899,536800.8588020001,1079551.3054230001
2022-10-05,2461.929388,193234.852459,73743.77709,503177.029535,474.873661,117539.815918,1879.388163,75642.702755,-2010.964995,134957.771584,576920.806625,1103112.140553
2022-10-06,2468.518961,203598.255684,102362.538401,554283.598103,629.582848,117373.545002,2056.464514,70098.81157,-2246.260824,68504.579246,656646.1365039999,1121375.894329
2022-10-07,2475.358241,197565.322828,59394.885771,521319.149616,645.095471,113715.386011,1429.537493,50075.559475,-2386.634461,139998.340979,580714.0353870001,1086618.635885
2022-10-08,2582.369901,206797.696104,64335.220857,480172.755854,411.101093,88252.22775,1668.645338,57535.89517,-1569.844303,138724.345871,544507.976711,1040480.257938
2022-10-09,2652.365511,209938.159707,62520.934215,504360.422668,678.65037,88821.870485,1438.008456,55427.116723,-1815.614241,105791.233821,566881.356883,1031628.761956
2022-10-10,2464.506345,204916.840604,61073.681589,492854.520038,421.396443,88921.626119,1844.09701,58416.979184,-2016.460263,195570.565896,553928.201627,1106484.2132279999
2022-10-11,2402.409465,187812.748587,33668.48916,390142.491683,391.696541,88957.191078,2074.532891,66708.717087,-2359.82309,345520.250063,423810.980843,1117678.526555
2022-10-12,1781.969841,207689.583283,122863.105122,462406.984437,551.111585,88938.390477,2542.771963,83651.640104,-2469.85999,262496.773189,585270.089559,1232922.330001
2022-10-13,2632.971611,222528.086962,112322.351071,503892.728765,443.929026,88906.899869,1734.399414,78212.627681,-2077.64432,128439.666717,616215.079836,1139113.6611159998
2022-10-14,2528.458434,193843.073437,61744.835916,433402.445659,269.55396,88965.984889,1683.607616,78927.326869,-2040.581891,246255.753237,495147.28157500003,1107621.0400170002
2022-10-15,2512.194911,188657.057769,85218.223126,379697.167729,675.004921,88988.012392,2131.176429,73289.789376,-2168.921768,354777.550451,464915.390855,1175946.177104
2022-10-16,2449.497571,187582.098413,76617.879596,429773.258504,392.867431,88911.960234,1520.721187,28960.493283,-2156.006351,297910.957103,506391.13810000004,1114119.733322
2022-10-17,2484.160244,167762.034488,52440.063796,408783.611078,507.909824,89067.059005,1730.7299,33174.521112,-1774.433734,245597.250385,461223.674874,1001547.3398320001
2022-10-18,2475.872873,164040.859037,69787.524015,420655.069099,281.395448,89345.177146,1538.803752,57551.18709,-1757.354959,115210.033629,490442.59311400005,920885.922089
2022-10-19,2437.933879,165226.129246,48806.775501,389991.042936,387.415979,89179.554973,1506.357155,89268.064507,-1865.265902,144731.373609,438797.818437,931534.647785
2022-10-20,2514.620516,148911.567831,53626.647796,362507.442876,465.546148,86185.911844,2168.284916,89757.770891,-2225.395519,224601.617897,416134.090672,970739.4107150001
2022-10-21,2498.040184,134948.938952,18722.176462,294376.088646,545.775493,86039.820832,1746.198776,78945.48883,-2540.052843,407458.468719,313098.265108,1025280.9968940001
2022-10-22,2504.068782,121671.11195,28692.950122,207554.383026,427.689295,86991.647979,1843.798073,66906.951578,-2384.254668,533583.027348,236247.333148,1050175.628153
2022-10-23,2381.205617,130895.923867,31226.742638,222350.546655,469.993806,89593.888154,1505.477401,35376.783814,-1876.99567,579618.830616,253577.289293,1093419.3925680001
2022-10-24,555.310317,167598.216268,70517.288677,306885.091687,427.373686,89624.030935,2574.218033,44376.402089,-2639.586333,432945.811344,377402.380364,1115503.7430359998
2022-10-25,545.16639,164507.974654,66760.831235,314838.395694,573.929617,89708.535608,2574.274754,88829.064,-2151.063677,221261.80987,381599.226929,949599.9818220001
