Date,biomass,coal,gas,gas_cc,hydro,nuclear,other,solar,wind,gas_total,total
2020-03-13,836.231136,134661.877002,61651.31635,367283.878116,2345.404281,117427.791259,5.894676,7499.206637,235380.670045,428935.19446599996,927092.269502
2020-03-14,804.916293,160530.660433,78500.782056,402161.984533,3159.355422,89158.635267,-69.811328,15681.034848,146848.414355,480662.766589,896775.9718790001
2020-03-15,873.793349,145671.174289,78191.743067,362865.750038,3118.84268,89401.086945,-19.910547,3886.1968,192303.552135,441057.493105,876292.228756
2020-03-16,813.139584,166387.142225,102338.472481,390263.466602,3268.766256,89626.228199,-42.598748,11704.373941,124801.812528,492601.939083,889160.803068
2020-03-17,847.183972,163672.982338,68504.770248,381698.036531,3803.460378,89763.161454,-18.743186,8500.3317,212649.077654,450202.806779,929420.261089
2020-03-18,808.292915,153154.509775,63410.439176,377027.723435,3343.698219,89715.291738,-79.358531,12134.741156,251184.426392,440438.162611,950699.764275
2020-03-19,776.885907,149199.630186,45569.819568,322484.241905,3378.853472,89654.62463,-52.04292,16712.276437,357462.382547,368054.061473,985186.671732
2020-03-20,796.330514,149008.982299,50836.974927,324092.032526,3440.754598,89641.860294,-52.133969,19590.778327,280352.463231,374929.007453,917708.042747
2020-03-21,928.842163,171664.293289,88288.600067,396422.650508,4200.466878,89745.489804,-66.412997,4585.409943,110109.536307,484711.250575,865878.8759619999
2020-03-22,942.720546,159926.069474,77861.99382,380557.256905,4986.185762,89759.151979,-134.085215,15395.609033,109524.106653,458419.25072500005,838819.0089570001
2020-03-23,904.814932,172045.780152,94311.748949,336909.394451,4018.901635,89743.344223,-50.011177,18977.038317,188947.082018,431221.14339999994,905808.0935
2020-03-24,904.048652,171332.234152,119950.522069,337054.871047,4183.462822,89749.171169,258.484528,24946.392668,206918.885601,457005.393116,955298.072708
2020-03-25,904.543419,160667.757254,85989.542957,362565.638907,3615.884045,89669.899824,-29.490545,24881.04004,248604.296398,448555.18186400004,976869.1122989999
2020-03-26,892.757706,147410.458587,84067.838441,325375.642617,4098.676926,89581.251804,-20.213632,22339.705036,337257.223671,409443.481058,1011003.341156
2020-03-27,891.826945,165253.360749,93179.503343,374643.574961,3172.235834,89586.03328,-39.221999,12390.322207,275474.028908,467823.078304,1014551.6642280001
