Date,biomass,coal,gas,gas_cc,hydro,nuclear,other,solar,wsl,wind,gas_total,total,co2_coal,co2_gas,co2_gas_cc,co2_biomass,co2_other,co2_nuclear,co2_hydro,co2_wind,co2_solar,co2_total,intensity
2025-01-30,312.235493,152053.504084,29429.965542,310321.320706,705.396684,122699.935076,12755.297905,82440.119914,-15970.612108,413282.123911,339751.28624800005,1123999.8993149998,144450.82887979998,16186.481048100002,114818.88866122001,0.0,8290.94363825,0.0,0.0,0.0,0.0,283747.14222737,0.25244409932802864
2025-01-31,345.940064,146818.901192,59455.979757,313867.87541,1136.803756,122629.008126,13891.077955,139220.185075,-14235.877662,334951.466119,373323.855167,1132317.237454,139477.9561324,32700.78886635,116131.1139017,0.0,9029.20067075,0.0,0.0,0.0,0.0,297339.0595712,0.26259342323513757
2025-02-01,297.126711,126441.426438,32636.646534,295859.29722,1259.518898,122534.909924,9814.069934,150538.566895,-15656.979736,380481.201525,328495.943754,1119862.764079,120119.35511609999,17950.1555937,109467.9399714,0.0,6379.1454570999995,0.0,0.0,0.0,0.0,253916.59613830002,0.22673902935519666
2025-02-02,251.619183,112255.9087,13452.924159,181319.337919,747.912458,122407.53662,13689.042298,175607.831516,-15529.206479,463864.891343,194772.262078,1083597.004196,106643.11326499999,7399.108287450001,67088.15503003,0.0,8897.8774937,0.0,0.0,0.0,0.0,190028.25407618,0.1753680135145592
2025-02-03,239.815364,131783.469829,31303.674154,254024.421132,1003.802818,122165.153065,12440.848873,156575.642748,-13596.917498,419266.765447,285328.095286,1128803.59343,125194.29633755,17217.020784700002,93989.03581884,0.0,8086.551767450001,0.0,0.0,0.0,0.0,244486.90470854,0.21658941035582494
2025-02-04,280.303193,182215.001314,38165.688648,352801.385468,1065.375166,122054.613922,14981.199404,112646.319635,-14292.714411,313717.269452,390967.074116,1137927.156202,173104.2512483,20991.128756400005,130536.51262316,0.0,9737.779612600001,0.0,0.0,0.0,0.0,334369.67224045994,0.2938410164640662
2025-02-05,305.695026,171066.428124,35402.00833,314639.528688,796.821799,121992.162029,11059.931945,95248.596011,-19178.667625,405461.655342,350041.537018,1155972.8272940002,162513.1067178,19471.1045815,116416.62561455999,0.0,7188.95576425,0.0,0.0,0.0,0.0,305589.79267811,0.2643572456572882
2025-02-06,281.753014,139358.390161,44464.740562,343076.101127,1201.892791,121933.941367,9448.881457,151712.690777,-12953.14501,346065.102795,387540.841689,1157543.494051,132390.47065295,24455.6073091,126938.15741699,0.0,6141.77294705,0.0,0.0,0.0,0.0,289926.00832609,0.25046662161388833
2025-02-07,321.555373,142460.721023,46893.679716,391567.479788,1528.269068,121825.266226,15530.575069,119226.483168,-15724.567127,327378.564648,438461.159504,1166732.594079,135337.68497185,25791.5238438,144879.96752156,0.0,10094.87379485,0.0,0.0,0.0,0.0,316104.05013206,0.27093101858664326
2025-02-08,328.924494,118006.730248,18216.031255,232167.644125,1068.163883,121726.797038,9021.52937,155433.016282,-12783.119537,510456.031971,250383.67538,1166424.8686659995,112106.3937356,10018.817190250002,85902.02832625,0.0,5863.9940905,0.0,0.0,0.0,0.0,213891.2333426,0.18337334798701616
2025-02-09,316.335977,157941.022436,51404.174686,436794.666914,1216.696611,121346.366883,8902.893221,95524.207685,-10051.757136,261935.712366,488198.8416,1135382.076779,150043.9713142,28272.2960773,161614.02675818,0.0,5786.88059365,0.0,0.0,0.0,0.0,345717.17474333,0.3044941274078463
2025-02-10,323.876863,208746.488461,110133.211876,587318.388687,2229.931409,121153.731103,11376.226692,32816.816675,-12592.077054,130434.436363,697451.6005630001,1204533.1081289998,198309.16403795,60573.26653180001,217307.80381419,0.0,7394.5473498,0.0,0.0,0.0,0.0,483584.78173374,0.4014707262674513
2025-02-11,319.622995,208037.549463,66748.378724,557458.190501,1409.472754,121310.093071,9845.122303,45892.402844,-13889.700144,227091.64722,624206.569225,1238112.479875,197635.67198985,36711.6082982,206259.53048537002,0.0,6399.32949695,0.0,0.0,0.0,0.0,447006.14027037006,0.36103839314785025
