timestamp,biomass,coal,gas,gas_cc,hydro,nuclear,other,solar,wind,gas_total,total
2020-09-20 00:00:00,37.157065,6481.660835,818.692431,16289.253793,85.703507,5017.374738,-0.239998,0.0,9433.014061,17107.946224,38162.616431999995
2020-09-20 01:00:00,35.996790000000004,5677.082676,801.019355,14342.939627,6.653645,5018.1349869999995,0.06673800000000002,0.0,9839.454843,15143.958982,35721.348661
2020-09-20 02:00:00,36.132755,5312.402882,798.080158,12363.750619,5.337523,5018.658309,1.237002,0.0,10269.807711,13161.830777,33805.406959
2020-09-20 03:00:00,35.97818,5292.764466,776.022989,10989.085556,4.352258,5019.948735,3.842943,0.0,10297.746366,11765.108545,32419.741493
2020-09-20 04:00:00,36.047175,5372.059676,754.114768,10562.763274,4.273147,5020.252644,2.144152,0.0,9755.956551,11316.878042,31507.611387
2020-09-20 05:00:00,36.098376,5195.9652,759.73905,10617.045401,4.1862,5022.324714,2.942131,0.0,9359.830926999999,11376.784451,30998.131998999997
2020-09-20 06:00:00,36.094381,5270.31532,767.546156,10791.806762,13.895736,5023.139711,3.537623,0.0,8920.090833,11559.352918,30826.426522
2020-09-20 07:00:00,36.106758,5506.888507,769.173368,11606.376,88.950458,5023.814963,3.3092040000000003,0.0,7956.760022,12375.549368,30991.37928
2020-09-20 08:00:00,36.119291,5612.606221,777.506076,12845.259123,89.575024,5024.574835,-1.614743,30.849871,6591.245715,13622.765199,31006.121413
2020-09-20 09:00:00,35.590815,5802.2617,696.891298,14608.606845999999,89.976456,5025.375213,-3.055016,802.206248,5395.232848,15305.498144,32453.086408
2020-09-20 10:00:00,35.014805,6241.141992,710.1018260000001,16942.032828000003,89.978695,5026.336392,-3.382104,2397.806204,3412.582997,17652.134654,34851.613635
2020-09-20 11:00:00,36.285512,6992.27916,743.344126,17910.688304,122.61714,5027.38018,-1.73897,3194.637259,3058.5216170000003,18654.03243,37084.014328
2020-09-20 12:00:00,36.254052,7866.618073,865.801477,18931.806366,130.045602,5026.629223,2.438133,3456.010735,2984.369005,19797.607842999998,39299.972666
2020-09-20 13:00:00,36.212885,8204.008763,897.572928,19748.456407,90.53272199999999,5026.905355,1.5419509999999998,3514.625657,3646.880977,20646.029335,41166.737644999994
2020-09-20 14:00:00,34.727759,8115.475648,991.889765,20456.787487,113.66144,5026.488551,1.47877,3514.604728,4365.861686,21448.677252,42620.975834
2020-09-20 15:00:00,35.175341,8482.175653,992.975968,21097.135927,115.796842,5026.30563,4.585821,3553.779176,4640.848035999999,22090.111895000002,43948.778394
2020-09-20 16:00:00,36.460803,8960.695557,997.7698330000001,21671.902849000002,116.08113399999999,5026.913898000001,6.367376999999999,3508.412716,4860.626108,22669.672682,45185.230275
2020-09-20 17:00:00,36.429866,9367.592313000001,995.86459,22002.434489,115.611591,5027.35465,9.647746,3309.808428,5417.276398,22998.299079,46282.020071
2020-09-20 18:00:00,34.984415,10012.552955,905.758374,22089.919641,115.907354,5027.163975,6.016656,2692.455385,5830.511536,22995.678015,46715.270291
2020-09-20 19:00:00,34.830363,10531.87924,903.26801,22134.380951,115.12719799999999,5027.769265999999,0.6214739999999999,1299.356744,6041.030393,23037.648961,46088.263639
2020-09-20 20:00:00,34.902974,10784.134243,996.3325910000001,21949.02117,89.641546,5026.507326,-1.6719680000000001,120.541508,6669.584795,22945.353761,45668.994184999996
2020-09-20 21:00:00,34.945476,8964.573729,1078.191249,21066.239004,87.800403,5026.6593139999995,0.24109399999999997,0.0,8933.870908,22144.430253,45192.521177
2020-09-20 22:00:00,34.998731,7503.100632,873.376172,19805.592783,87.082486,5026.579899,-4.243632,0.0,10069.270828,20678.968954999997,43395.757899000004
2020-09-20 23:00:00,34.211732,6792.993694000001,773.340589,17454.545959,87.46804,5026.956415000001,-15.97477,0.0,10807.390567,18227.886548000002,40960.932226000004
2020-09-21 00:00:00,34.425270999999995,6152.274544,714.061838,14892.601756,85.500539,5027.583038,-6.710222,0.0,11252.165613,15606.663594,38151.90237699999
2020-09-21 01:00:00,35.129861,5924.673537000001,716.9370409999999,13612.698778,6.39042,5028.574332,3.173016,0.0,10511.495005,14329.635819000001,35839.071990000004
2020-09-21 02:00:00,35.145454,5925.067569000001,714.183028,12990.18962,5.368801,5029.060736,1.941861,0.0,9767.464902,13704.372648,34468.421971
2020-09-21 03:00:00,35.160579,5906.651322,714.246744,13133.604254,5.114292,5029.45233,-0.26578799999999997,0.0,8612.736475,13847.850998,33436.700207999995
2020-09-21 04:00:00,35.185586,5882.239899,702.380439,13590.900104,5.034305,5029.789882,-0.536195,0.0,7809.563026,14293.280542999999,33054.557046
2020-09-21 05:00:00,35.200522,5900.727718,717.770404,14300.355277,5.883290000000001,5030.107803,-1.712942,0.0,7078.370989,15018.125681000001,33066.703061
2020-09-21 06:00:00,35.181981,6647.087813,737.011754,15832.980563000001,14.582952,5030.906399,-0.376537,0.0,6260.769507,16569.992317,34558.144432
